PROMOTIONID,DOMAINNAMEID,EXPIREDATE
606653,2453,2022-03-06 23:59:59.000 Z
606734,424912,2022-12-31 23:59:59.000 Z
606781,463018,2022-03-14 23:59:59.000 Z
605703,6801,
606862,3568,2022-04-03 23:59:59.000 Z
606655,38652,2022-03-07 23:59:59.000 Z
606667,405562,2022-03-06 23:59:59.000 Z
606687,376711,2022-03-28 23:59:59.000 Z
606665,36108,2022-03-07 23:59:59.000 Z
606864,376711,2022-03-28 23:59:59.000 Z
606668,479435,2022-04-01 23:59:59.000 Z
606682,30136,2022-03-08 23:59:59.000 Z
605651,458109,2022-02-28 23:59:59.000 Z
606689,11259,2022-03-06 23:59:59.000 Z
606688,24752,2022-03-09 23:59:59.000 Z
606691,2510,2022-03-08 23:59:59.000 Z
606511,5214,2022-03-15 23:59:59.000 Z
605902,20132,2022-03-29 23:59:59.000 Z
606512,4428,2022-03-03 23:59:59.000 Z
606509,337100,2022-03-31 23:59:59.000 Z
606515,2272,2022-03-06 23:59:59.000 Z
606513,6325,2022-03-07 23:59:59.000 Z
606517,2050,2022-03-13 23:59:59.000 Z
605899,2363,2022-03-27 23:59:59.000 Z
606536,201596,2022-03-05 23:59:59.000 Z
606562,140209,2022-03-06 23:59:59.000 Z
606309,184786,2022-03-09 23:59:59.000 Z
606651,2385,
606586,2001,2022-03-07 23:59:59.000 Z
606085,140209,2022-03-22 23:59:59.000 Z
606358,7924,2022-03-06 23:59:00.000 Z
606532,17376,2022-03-03 23:59:59.000 Z
606252,496128,2023-01-01 23:59:59.000 Z
606529,36003,2022-03-08 23:59:59.000 Z
606247,1872,2022-03-05 23:59:59.000 Z
606531,437135,2022-03-07 23:59:59.000 Z
606533,358857,2022-03-31 23:59:59.000 Z
605452,3426,2022-03-17 23:59:59.000 Z
606726,1909,
605774,428537,2023-01-31 23:59:59.000 Z
606602,1805,2022-03-14 23:59:59.000 Z
606539,139641,2022-03-03 23:59:59.000 Z
606537,6192,2022-03-12 23:59:59.000 Z
605486,3607,2022-02-18 23:59:59.000 Z
605328,3568,2022-03-05 23:59:59.000 Z
605546,2453,
605474,426402,2022-02-17 23:59:59.000 Z
605540,1909,2022-02-21 23:59:59.000 Z
605487,105816,2022-02-18 23:59:59.000 Z
605550,2001,2022-02-26 23:59:59.000 Z
605330,8254,2022-02-19 23:59:59.000 Z
605541,1909,2022-02-21 23:59:59.000 Z
605316,3063,2022-02-19 23:59:59.000 Z
605121,115914,
605348,8254,2022-02-19 23:59:59.000 Z
605331,191613,2022-02-14 23:59:59.000 Z
605339,294909,2022-02-17 23:59:59.000 Z
605205,3081,2022-02-15 23:59:59.000 Z
604984,8007,2022-02-17 23:59:59.000 Z
605454,4433,2022-02-16 23:59:59.000 Z
605342,465211,2022-02-15 23:59:59.000 Z
605573,1909,2022-02-21 23:59:59.000 Z
605559,1909,
605562,1909,
605396,7924,2022-02-14 23:59:59.000 Z
605570,1909,
605341,3940,2022-02-15 23:59:59.000 Z
605566,1909,
605343,400920,2022-03-17 23:59:59.000 Z
605556,1909,
605584,1909,
605558,1909,
605037,27664,2022-02-16 23:59:59.000 Z
605223,376149,2022-02-24 23:59:59.000 Z
605269,465852,2022-02-17 23:59:59.000 Z
605217,27365,2022-02-16 23:59:59.000 Z
605216,376079,2022-02-16 23:59:59.000 Z
605218,114084,2022-02-28 23:59:59.000 Z
605260,10291,2022-02-14 23:59:59.000 Z
605219,2931,2022-05-10 23:59:59.000 Z
605307,3607,2022-02-15 23:59:59.000 Z
605325,463018,2022-02-20 23:59:59.000 Z
605335,1909,2022-02-14 23:59:59.000 Z
605320,30482,2022-02-16 23:59:59.000 Z
605230,9866,2022-03-01 23:59:59.000 Z
605228,2523,2022-02-13 23:59:59.000 Z
605277,140209,2022-02-13 23:59:59.000 Z
605237,5234,2022-03-01 23:59:59.000 Z
605351,1909,
605244,437206,2022-02-16 23:59:59.000 Z
605243,376135,2022-02-14 23:59:59.000 Z
605249,203724,2022-02-11 23:59:59.000 Z
605251,376594,2022-02-14 23:59:59.000 Z
605356,1909,
605247,22715,2022-02-12 23:59:59.000 Z
605282,203724,2022-02-23 23:59:59.000 Z
605248,8722,2022-02-14 23:59:59.000 Z
605063,153389,2022-02-13 23:59:59.000 Z
605133,6244,2022-02-13 23:59:59.000 Z
605253,411980,2022-04-07 23:59:59.000 Z
605258,177140,2022-12-31 23:59:59.000 Z
605261,10272,2022-04-17 23:59:59.000 Z
605293,71184,2022-02-12 23:59:59.000 Z
605259,20132,2022-02-15 23:59:59.000 Z
605407,1909,
605408,1909,
605409,1909,
605386,11497,2022-12-31 23:59:59.000 Z
605385,1872,2022-02-19 23:59:59.000 Z
605358,1909,2022-02-14 23:59:59.000 Z
605118,3940,2022-02-13 23:59:59.000 Z
605170,3016,2022-02-27 23:59:59.000 Z
605090,56322,2022-05-30 23:59:59.000 Z
605168,2527,2022-02-12 23:59:59.000 Z
605176,33467,
605174,435594,2022-02-15 23:59:59.000 Z
605172,377196,2022-02-14 23:59:59.000 Z
605173,2768,2022-03-01 23:59:59.000 Z
605175,40499,2022-02-20 23:59:59.000 Z
605155,95911,2022-02-20 23:59:59.000 Z
605146,440356,2022-02-15 23:59:59.000 Z
605137,3063,2022-03-05 23:59:59.000 Z
